parsed,ref
"ДАХО-(Ф. 31, о. 141-ЕХ-3+++Ф. 31, о. 141-ЕХ-3+++)","Ф. 31, о. 141-ЕХ-3"
"ДАОО-(Ф. 37, on. 3, д. 575-ч1-2+++Ф. 37, on. 3, д. 575-ч1-2+++37-3-575-1-2_1840)","Ф. 37, on. 3, д. 575-ч1-2"
"ДАОО-(Ф. 37, on. 3, д. 575-ч2-2+++Ф. 37, on. 3, д. 575-ч2-2+++37-3-575-2-2_1840)","Ф. 37, on. 3, д. 575-ч2-2"
"ДАОО-(Ф. 37, on. 2, д. 59-a-6+++Ф. 37, on. 2, д. 59-a-6+++)","Ф. 37, on. 2, д. 59-a-6"
"ДАОО-(Ф. 37, on. 2, д. 59-a-2+++Ф. 37, on. 2, д. 59-a-2+++37-2-59-а-2_1871)","Ф. 37, on. 2, д. 59-a-2"
"ДАОО-(Ф. 37, on. 2, д. 59-a-3+++Ф. 37, on. 2, д. 59-a-3+++)","Ф. 37, on. 2, д. 59-a-3"
"ДАОО-(Ф. 37, on. 2, д. 59-a-4+++Ф. 37, on. 2, д. 59-a-4+++)","Ф. 37, on. 2, д. 59-a-4"
"ДАОО-(Ф. 37, on. 2, д. 59-a-5+++Ф. 37, on. 2, д. 59-a-5+++37-2-59-а-5_1871)","Ф. 37, on. 2, д. 59-a-5"
"ДАОО-(Ф. 37, on. 3, д. 78-a-1+++Ф. 37, on. 3, д. 78-a-1+++37-3-78-а-1_1800-1804,1809-1819,1825-1827)","Ф. 37, on. 3, д. 78-a-1"
"ДАОО-(Ф. 37, on. 3, д. 78-a-2+++Ф. 37, on. 3, д. 78-a-2+++37-3-78-а-2_1804-1838)","Ф. 37, on. 3, д. 78-a-2"
